grid_id,dist_hospitals_m,dist_pharmacies_m,dist_schools_m,dist_grocery_m,dist_restaurants_m,dist_police_m,dist_fire_stations_m,dist_banks_m,dist_atms_m,dist_bus_stations_m,dist_bus_stops_m,dist_metro_m,dist_railway_stations_m,dist_public_transport_stops_m,dist_subway_entrances_m,dist_waterways_m,lst_2024_mean,lst_summer_2024_mean,ndvi_2024_mean,builtup_2024_mean,nightlights_2024_mean,no2_2024_mean,o3_2024_mean,elevation_mean,predicted_pm25,predicted_pm10,dist_to_sensor_m,pm_confidence,longitude,latitude,humidity_2024_mean,wind_2024_mean,avg_annual_rainfall_mean,monsoon_rainfall_mean,max_1day_rainfall_mean,env_data_confidence,population_mean,dist_fuel_m,dist_toilets_m,population_available,water_occurrence_mean,water_occurrence_max,water_occurrence_min,water_presence,water_high_occurrence
DEL_00001,2277.3705143083243,6970.2691639758905,4651.720290390618,9068.076648778992,6993.009551565865,8702.766557557525,14875.994300669658,6995.325852836476,15315.07246033916,7583.3593181629,6395.6088806658245,14876.01956075926,15051.93372019689,8551.585185129681,14876.01956075926,2872.8059838796275,45.339447687894754,45.339447687894754,0.0687447264790535,0.057428688625805,24.120834350585938,0.0,0.0,215.17491939700244,385.1903012472179,141.3345040212155,30539.91622785309,estimated,76.8375401638605,28.55752702300721,53.63735019824772,0.6327921953456487,729.4855156363261,7813.616067622651,110.71865047741474,high confidence,545.7931933409407,-1.0,-1.0,0,0.0,0.0,0.0,0,0
DEL_00002,2348.826381184487,6932.473988910471,4488.351319698548,9189.035125200216,6955.755117058322,8565.044263883738,14766.03993673792,6957.29440928663,15213.95749405415,7360.70763264127,6458.546298247684,14765.645164900548,14942.7357753743,8308.582895560314,14765.645164900548,2554.220170956208,47.62114503090911,47.62114503090911,0.1963425413869059,0.0553790803012339,24.120834350585938,6.19004800068423e-05,0.1290933905817342,216.3055555555556,382.3328764182641,140.6553784413866,30419.70998827738,estimated,76.83728537459312,28.560574985659795,53.64399741528276,0.6329895740113778,728.0709644494093,7797.859545082646,111.22572688298084,high confidence,532.765370850906,-1.0,-1.0,0,0.0,0.0,0.0,0,0
DEL_00003,2516.881875395261,6907.44723114973,4299.177282104499,9370.677867948983,6931.381719862909,8396.081754916857,14627.780221955763,6931.849015178088,15087.573214683478,7072.7290399413805,6571.23580167636,14626.80485599988,14805.387449637336,7989.323571396226,14626.80485599988,2120.9871381812222,49.30718049875001,49.30718049875001,0.1069001122344312,0.1451912048713603,24.120834350585938,0.0,0.0,215.132530120482,378.67803302564766,139.23136496312742,30261.563600961174,estimated,76.8369388837706,28.56471979580073,53.65689539721132,0.6333421780149856,725.8693716937379,7773.168558819308,111.89050895254968,high confidence,1103.633669113372,-1.0,-1.0,0,0.0,0.0,0.0,0,0
DEL_00004,2770.799042001872,6914.596963881442,4144.3464705654615,9585.440249616378,6939.114399446227,8240.207674971418,14494.7760653162,6938.431068203468,14967.025074235387,6786.10323302986,6724.503413270957,14493.169692554891,14673.19680783334,7664.108535164514,14493.169692554891,1665.8139409421506,51.75697703664432,51.75697703664432,0.0957278234516075,0.0565261188114632,24.120834350585938,6.229377249476596e-05,0.1291432592242779,216.4927536231884,375.1362669955529,137.16495236814842,30099.4572140705,estimated,76.83656864185612,28.56914848607496,53.67617531208138,0.633810869529923,723.3217520415758,7744.405355590505,112.44598144894972,high confidence,540.0562341448128,-1.0,-1.0,0,0.0,0.0,0.0,0,0
DEL_00005,3051.8560498513507,6957.301679077279,4043.063524124069,9822.88555631499,6982.279660100734,8109.978780407077,14376.19213762699,6980.444769435927,14860.73220951018,6521.318614750813,6911.707168062831,14373.938383835788,14555.254797105166,7354.195999904119,14373.938383835788,1226.6388540018247,47.45601292822663,47.45601292822663,0.1909651670533889,0.077885497386481,2.4491665363311768,0.0,0.0,216.2953367875648,372.079595522264,134.76343205958472,29942.89644595918,estimated,76.8361942984832,28.5736259862144,53.70190454102399,0.6343584933795532,720.7610734527568,7715.349257911018,112.7451305626019,high confidence,360.3266150382577,-1.0,-1.0,0,0.0,0.0,0.0,0,0
DEL_00006,3093.289209208604,7035.391779520927,4001.496204992999,10080.335442832702,7060.699529133965,8008.268707130696,14273.61874724719,7057.737519427714,14770.13126271374,6283.990596548915,7037.647881794134,14270.70763428038,14453.131632507811,7064.704671893364,14270.70763428038,814.9240406723479,47.40061948816796,47.40061948816796,0.1700816434972426,0.0638686099840593,2.1541666984558105,6.229377249476596e-05,0.1291432592242779,215.1220472440945,369.8537140818526,133.06578819367635,29793.268037657635,estimated,76.83581850153257,28.57812061928594,53.734247009866415,0.6349556707809959,718.4786999048614,7689.367246955316,112.7699285411241,high confidence,266.9371830154455,-1.0,-1.0,0,0.0,0.0,0.0,0,0
DEL_00007,3198.5442920589344,7133.629478284142,4007.3192916425833,10340.638235271248,7159.13636191808,7925.553033126088,14177.126977193073,7155.102103806583,14684.954709907952,6070.396967558126,6793.334796143051,14173.566998126436,14356.882455518898,6793.334796143051,14173.566998126436,408.17441044825,49.794390294668894,49.794390294668894,0.1127849260500549,0.0485170103528514,2.2983334064483643,0.0,0.0,215.2437275985663,366.3324394250848,130.0928221999176,29641.88532092575,estimated,76.83557367038773,28.58254745452126,53.87742784785046,0.6375431203551715,716.4639765082978,7665.753651615415,112.77023374129426,high confidence,171.45735347513605,-1.0,-1.0,0,0.0171428571428571,3.0,0.0,1,0
DEL_00008,3309.510763376765,7197.779443100792,3999.690474409249,10559.74082319009,7223.368226399632,7805.151233738707,14030.365897947742,7218.277608244779,14548.781432815738,5827.229057810451,6489.522515170171,14026.171548983004,14210.161450374342,6489.522515170171,14026.171548983004,32.66368893422722,48.585068141914086,48.585068141914086,0.1553174257278442,0.0480217450405891,2.260833263397217,6.190187774285568e-05,0.1291811740203988,215.75619834710744,361.48578898543735,127.35427686230362,29433.798827216266,estimated,76.83602515216407,28.586970516979303,53.93257145488962,0.6384069850124268,715.8954501185589,7659.422804152005,112.67703647325388,high confidence,167.76339804134005,-1.0,-1.0,0,0.0,0.0,0.0,0,0
DEL_00009,3431.700232121309,7262.189632686282,4028.377294625776,10730.817725695128,7287.763207443398,7729.502237640098,13926.23183637836,7281.910646822297,14452.287744710342,5662.14323310027,6274.025006661475,13921.56016257557,14105.926681603529,6274.025006661475,13921.56016257557,364.1611162423538,48.16365212954547,48.16365212954547,0.142363503538532,0.0978263360988578,2.157500028610229,0.0,0.0,215.2840909090909,357.80484737303124,124.90633191635962,29278.216020319745,estimated,76.83641357439322,28.59027001200222,53.97557407440135,0.6390104106022808,715.8752791559507,7659.128895988326,112.74616275838878,high confidence,482.8294990944503,-1.0,-1.0,0,0.0,0.0,0.0,0,0
DEL_00010,1968.232990719365,6695.534486050512,4467.832432666393,8747.07774679664,6717.982430854767,8490.184675892237,14640.024614938104,6720.688181296703,15073.06176962505,7452.439662399088,6083.622312872231,14640.337484096694,14815.400771087896,8443.959025226923,14640.337484096694,2856.6636786430545,51.17306989793895,51.17306989793895,0.0880292884475516,0.053497083733057,24.120834350585938,0.0,0.0,214.725,379.5462320705385,145.22332449020124,30309.00254161173,estimated,76.84065400717039,28.55660388336056,53.63119850645934,0.6325498019754551,729.1983044204018,7810.814843474503,110.98926939473832,high confidence,520.8029305528585,-1.0,-1.0,0,0.0,0.0,0.0,0,0
